Stock Code,Update Date,Weight,Trade Start Date,Trade End Date
0003.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0005.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0083.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0151.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0267.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0700.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0762.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0857.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
1038.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
1113.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0992.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0135.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0293.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0494.HK,2016-09-30,0.07142857142857142,2016-10-01,2016-10-31
0002.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
0011.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
0019.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
0066.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
0939.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
0941.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
1044.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
1109.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
1398.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
2018.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
2319.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
2388.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
3328.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
0004.HK,2016-09-30,-0.07142857142857142,2016-10-01,2016-10-31
0002.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0003.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0005.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0012.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0016.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0017.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0066.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0388.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0700.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0939.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
1928.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
2318.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0836.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
0023.HK,2016-10-31,0.07142857142857142,2016-11-01,2016-11-30
